dataset,method,classifier,auc,g_mean,f_measure,balanced_accuracy,precision,sensitivity
ecoli1,none,knn,1.0,0.9903379376602871,0.9696969696969697,0.9903846153846154,1.0,1.0
ecoli1,none,decision_tree,0.9,0.8944271909999159,0.8666666666666667,0.9,0.8888888888888888,0.8125
ecoli1,none,svm_rbf,1.0,0.9903379376602871,0.967741935483871,0.9903846153846154,1.0,1.0
ecoli1,none,naive_bayes,1.0,1.0,1.0,1.0,1.0,1.0
ecoli1,none,mlp,0.9987179487179487,0.970725343394151,0.967741935483871,0.9711538461538461,1.0,1.0
ecoli1,none,logistic_regression,0.9987179487179487,0.9903379376602871,0.967741935483871,0.9903846153846154,1.0,1.0
ecoli1,none,random_forest,0.9974358974358974,0.9567573440452993,0.9333333333333333,0.957051282051282,1.0,0.9333333333333333
ecoli1,ros,knn,1.0,0.9701425001453319,0.9142857142857143,0.9705882352941176,0.8823529411764706,1.0
ecoli1,ros,decision_tree,0.9282051282051282,0.9281909617845142,0.8888888888888888,0.9282051282051282,0.9333333333333333,0.9333333333333333
ecoli1,ros,svm_rbf,1.0,0.9903379376602871,0.967741935483871,0.9903846153846154,1.0,1.0
ecoli1,ros,naive_bayes,1.0,0.9901475429766743,0.967741935483871,0.9901960784313726,0.9411764705882353,1.0
ecoli1,ros,mlp,0.9974358974358974,0.9901475429766743,0.967741935483871,0.9901960784313726,0.9411764705882353,1.0
ecoli1,ros,logistic_regression,0.9974358974358974,0.9901475429766743,0.967741935483871,0.9901960784313726,0.9411764705882353,1.0
ecoli1,ros,random_forest,1.0,0.9682458365518543,0.967741935483871,0.96875,1.0,0.9375
ecoli1,smote,knn,0.9987745098039216,0.9801960588196069,0.9411764705882353,0.9803921568627452,0.9375,1.0
ecoli1,smote,decision_tree,0.957051282051282,0.9567573440452993,0.9333333333333333,0.957051282051282,0.9375,0.9333333333333333
ecoli1,smote,svm_rbf,1.0,0.9903379376602871,0.967741935483871,0.9903846153846154,1.0,1.0
ecoli1,smote,naive_bayes,1.0,1.0,1.0,1.0,1.0,1.0
ecoli1,smote,mlp,0.9974358974358974,0.9901475429766743,0.967741935483871,0.9901960784313726,0.9411764705882353,1.0
ecoli1,smote,logistic_regression,0.9974358974358974,0.9903379376602871,0.967741935483871,0.9903846153846154,1.0,1.0
ecoli1,smote,random_forest,0.9987179487179487,0.9682458365518543,0.967741935483871,0.96875,1.0,0.9375
ecoli1,borderline_smote,knn,0.9974358974358974,0.9701425001453319,0.9375,0.9705882352941176,0.8823529411764706,1.0
ecoli1,borderline_smote,decision_tree,0.90625,0.9013878188659973,0.896551724137931,0.90625,0.9375,0.8125
ecoli1,borderline_smote,svm_rbf,1.0,0.9805806756909202,0.967741935483871,0.9807692307692308,1.0,1.0
ecoli1,borderline_smote,naive_bayes,0.9923076923076923,0.9567573440452993,0.9333333333333333,0.957051282051282,0.9333333333333333,0.9333333333333333
ecoli1,borderline_smote,mlp,0.9987179487179487,0.970725343394151,0.967741935483871,0.9711538461538461,1.0,1.0
ecoli1,borderline_smote,logistic_regression,0.9939903846153846,0.9682458365518543,0.9090909090909091,0.96875,0.8666666666666667,1.0
ecoli1,borderline_smote,random_forest,0.9961538461538462,0.9567573440452993,0.9333333333333333,0.957051282051282,1.0,0.9333333333333333
ecoli1,adasyn,knn,0.9897435897435898,0.9701425001453319,0.9090909090909091,0.9705882352941176,0.8421052631578947,1.0
ecoli1,adasyn,decision_tree,0.957051282051282,0.9567573440452993,0.9333333333333333,0.957051282051282,1.0,0.9333333333333333
ecoli1,adasyn,svm_rbf,1.0,0.9805806756909202,0.967741935483871,0.9807692307692308,1.0,1.0
ecoli1,adasyn,naive_bayes,1.0,0.970725343394151,0.9411764705882353,0.9711538461538461,0.8888888888888888,1.0
ecoli1,adasyn,mlp,1.0,0.970725343394151,0.967741935483871,0.9711538461538461,1.0,1.0
ecoli1,adasyn,logistic_regression,0.9974358974358974,0.970725343394151,0.967741935483871,0.9711538461538461,0.9375,1.0
ecoli1,adasyn,random_forest,0.9961538461538462,0.9354143466934853,0.9333333333333333,0.9375,1.0,0.875
ecoli1,svm_smote,knn,0.9901960784313725,0.9701425001453319,0.9375,0.9705882352941176,0.8823529411764706,1.0
ecoli1,svm_smote,decision_tree,0.9378205128205128,0.9378097778799172,0.875,0.9378205128205128,0.8888888888888888,0.9333333333333333
ecoli1,svm_smote,svm_rbf,1.0,0.9901475429766743,0.967741935483871,0.9901960784313726,0.9375,1.0
ecoli1,svm_smote,naive_bayes,1.0,0.9682458365518543,0.9090909090909091,0.96875,0.8333333333333334,1.0
ecoli1,svm_smote,mlp,0.9987179487179487,0.970725343394151,0.967741935483871,0.9711538461538461,1.0,1.0
ecoli1,svm_smote,logistic_regression,0.9974358974358974,0.970725343394151,0.9375,0.9711538461538461,0.8823529411764706,1.0
ecoli1,svm_smote,random_forest,0.9974358974358974,0.9682458365518543,0.967741935483871,0.96875,0.9411764705882353,0.9375
ecoli1,kmeans_smote,knn,1.0,0.9805806756909202,0.9411764705882353,0.9807692307692308,0.9375,1.0
ecoli1,kmeans_smote,decision_tree,0.9666666666666667,0.9660917830792959,0.9375,0.9666666666666667,1.0,0.9375
ecoli1,kmeans_smote,svm_rbf,1.0,0.9903379376602871,0.967741935483871,0.9903846153846154,1.0,1.0
ecoli1,kmeans_smote,naive_bayes,1.0,0.9903379376602871,0.9696969696969697,0.9903846153846154,1.0,1.0
ecoli1,kmeans_smote,mlp,0.9974358974358974,0.9903379376602871,0.967741935483871,0.9903846153846154,1.0,1.0
ecoli1,kmeans_smote,logistic_regression,0.9974358974358974,0.9903379376602871,0.967741935483871,0.9903846153846154,1.0,1.0
ecoli1,kmeans_smote,random_forest,0.9974358974358974,0.9682458365518543,0.967741935483871,0.96875,1.0,0.9375
ecoli1,circ_smote,knn,1.0,0.9805806756909202,0.967741935483871,0.9807692307692308,1.0,1.0
ecoli1,circ_smote,decision_tree,0.8677884615384616,0.8660254037844386,0.7878787878787878,0.8677884615384616,0.8461538461538461,0.8125
ecoli1,circ_smote,svm_rbf,1.0,0.9805806756909202,0.967741935483871,0.9807692307692308,1.0,1.0
ecoli1,circ_smote,naive_bayes,1.0,0.9660917830792959,0.9655172413793104,0.9666666666666667,1.0,0.9333333333333333
ecoli1,circ_smote,mlp,0.9987179487179487,0.9805806756909202,0.967741935483871,0.9807692307692308,1.0,1.0
ecoli1,circ_smote,logistic_regression,0.9987179487179487,0.9903379376602871,0.967741935483871,0.9903846153846154,1.0,1.0
ecoli1,circ_smote,random_forest,0.9948717948717949,0.9473309334313419,0.9333333333333333,0.9474358974358974,1.0,0.9333333333333333
ecoli1,gvm_co,knn,1.0,0.9805806756909202,0.967741935483871,0.9807692307692308,1.0,1.0
ecoli1,gvm_co,decision_tree,0.8677884615384616,0.8660254037844386,0.7878787878787878,0.8677884615384616,0.8461538461538461,0.8125
ecoli1,gvm_co,svm_rbf,1.0,0.9903379376602871,0.967741935483871,0.9903846153846154,1.0,1.0
ecoli1,gvm_co,naive_bayes,1.0,0.9660917830792959,0.9655172413793104,0.9666666666666667,1.0,0.9333333333333333
ecoli1,gvm_co,mlp,0.9987179487179487,0.9805806756909202,0.967741935483871,0.9807692307692308,1.0,1.0
ecoli1,gvm_co,logistic_regression,0.9987179487179487,0.9903379376602871,0.967741935483871,0.9903846153846154,1.0,1.0
ecoli1,gvm_co,random_forest,0.9948717948717948,0.9660917830792959,0.9375,0.9666666666666667,1.0,0.9333333333333333
ecoli1,gvm_co_cc,knn,1.0,0.9805806756909202,0.967741935483871,0.9807692307692308,1.0,1.0
ecoli1,gvm_co_cc,decision_tree,0.8677884615384616,0.8660254037844386,0.7878787878787878,0.8677884615384616,0.8,0.8
ecoli1,gvm_co_cc,svm_rbf,1.0,0.9903379376602871,0.967741935483871,0.9903846153846154,1.0,1.0
ecoli1,gvm_co_cc,naive_bayes,1.0,0.9309493362512627,0.9285714285714286,0.9333333333333333,1.0,0.8666666666666667
ecoli1,gvm_co_cc,mlp,0.9987179487179487,0.9682458365518543,0.9655172413793104,0.96875,1.0,0.9375
ecoli1,gvm_co_cc,logistic_regression,1.0,0.9903379376602871,0.967741935483871,0.9903846153846154,1.0,1.0
ecoli1,gvm_co_cc,random_forest,0.9981617647058824,0.9354143466934853,0.9333333333333333,0.9375,1.0,0.875
ecoli1,lre_co,knn,1.0,0.9805806756909202,0.967741935483871,0.9807692307692308,1.0,1.0
ecoli1,lre_co,decision_tree,0.8677884615384616,0.8660254037844386,0.7878787878787878,0.8677884615384616,0.8461538461538461,0.8125
ecoli1,lre_co,svm_rbf,1.0,0.9903379376602871,0.967741935483871,0.9903846153846154,1.0,1.0
ecoli1,lre_co,naive_bayes,1.0,0.9660917830792959,0.9655172413793104,0.9666666666666667,1.0,0.9333333333333333
ecoli1,lre_co,mlp,0.9987179487179487,0.9805806756909202,0.967741935483871,0.9807692307692308,1.0,1.0
